M49,AREA,Year,Series,Value
818,Egypt,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",67.0048
818,Egypt,2010,"Safely managed sanitation facilities, total of Proportion of population with access",57.1312
818,Egypt,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",70.714
818,Egypt,2017,"Safely managed sanitation facilities, total of Proportion of population with access",60.7405
222,El Salvador,2005,"Safely managed drinking water sources, urban of Proportion of population with access",81.7786
222,El Salvador,2010,"Safely managed drinking water sources, urban of Proportion of population with access",76.1487
222,El Salvador,2017,"Safely managed drinking water sources, urban of Proportion of population with access",77.2819
233,Estonia,2005,"Safely managed drinking water sources, total of Proportion of population with access",94.367
233,Estonia,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",97.2684
233,Estonia,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",93.5522
233,Estonia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",96.1065
233,Estonia,2010,"Safely managed drinking water sources, total of Proportion of population with access",95.3757
233,Estonia,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",97.4117
233,Estonia,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",93.8615
233,Estonia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",96.279
233,Estonia,2017,"Safely managed drinking water sources, total of Proportion of population with access",93.333
233,Estonia,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",98.7126
233,Estonia,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",94.391
233,Estonia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",97.3606
748,Eswatini,2005,"Safely managed drinking water sources, urban of Proportion of population with access",75.0184
748,Eswatini,2010,"Safely managed drinking water sources, urban of Proportion of population with access",83.0334
748,Eswatini,2017,"Safely managed drinking water sources, urban of Proportion of population with access",88.7498
231,Ethiopia,2005,"Safely managed drinking water sources, urban of Proportion of population with access",36.0256
231,Ethiopia,2005,"Safely managed drinking water sources, rural of Proportion of population with access",0.5126
231,Ethiopia,2005,"Safely managed drinking water sources, total of Proportion of population with access",6.0882
231,Ethiopia,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",1.9568
231,Ethiopia,2010,"Safely managed drinking water sources, urban of Proportion of population with access",37.0339
231,Ethiopia,2010,"Safely managed drinking water sources, rural of Proportion of population with access",1.7417
231,Ethiopia,2010,"Safely managed drinking water sources, total of Proportion of population with access",7.854
231,Ethiopia,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",2.7893
231,Ethiopia,2017,"Safely managed drinking water sources, urban of Proportion of population with access",38.4454
231,Ethiopia,2017,"Safely managed drinking water sources, rural of Proportion of population with access",4.5633
231,Ethiopia,2017,"Safely managed drinking water sources, total of Proportion of population with access",11.4448
231,Ethiopia,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",3.8146
246,Finland,2005,"Safely managed drinking water sources, total of Proportion of population with access",95.4395
246,Finland,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",99.0142
246,Finland,2005,"Safely managed sanitation facilities, total of Proportion of population with access",99.066
246,Finland,2010,"Safely managed drinking water sources, total of Proportion of population with access",98.4038
246,Finland,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",99.1195
246,Finland,2010,"Safely managed sanitation facilities, total of Proportion of population with access",99.12
246,Finland,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.6331
246,Finland,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",99.2668
246,Finland,2017,"Safely managed sanitation facilities, total of Proportion of population with access",99.2058
250,France,2005,"Safely managed drinking water sources, total of Proportion of population with access",96.9547
250,France,2005,"Safely managed sanitation facilities, total of Proportion of population with access",89.2421
250,France,2010,"Safely managed drinking water sources, total of Proportion of population with access",97.3401
250,France,2010,"Safely managed sanitation facilities, total of Proportion of population with access",88.8475
250,France,2017,"Safely managed drinking water sources, total of Proportion of population with access",97.8538
250,France,2017,"Safely managed sanitation facilities, total of Proportion of population with access",88.3714
254,French Guiana,2005,"Safely managed drinking water sources, total of Proportion of population with access",88.7658
254,French Guiana,2010,"Safely managed drinking water sources, total of Proportion of population with access",89.6064
254,French Guiana,2017,"Safely managed drinking water sources, total of Proportion of population with access",90.7861
270,Gambia,2005,"Safely managed drinking water sources, urban of Proportion of population with access",50.1441
270,Gambia,2010,"Safely managed drinking water sources, urban of Proportion of population with access",59.1804
270,Gambia,2017,"Safely managed drinking water sources, urban of Proportion of population with access",68.2688
268,Georgia,2005,"Safely managed drinking water sources, total of Proportion of population with access",76.4495
268,Georgia,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",7.0457
268,Georgia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",22.8529
268,Georgia,2010,"Safely managed drinking water sources, total of Proportion of population with access",78.5292
268,Georgia,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",10.7008
268,Georgia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",24.6348
268,Georgia,2017,"Safely managed drinking water sources, total of Proportion of population with access",79.9947
268,Georgia,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",15.8652
268,Georgia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",27.1651
276,Germany,2005,"Safely managed drinking water sources, total of Proportion of population with access",99.8
276,Germany,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",97.4714
276,Germany,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",90.5237
276,Germany,2005,"Safely managed sanitation facilities, total of Proportion of population with access",95.8025
276,Germany,2010,"Safely managed drinking water sources, total of Proportion of population with access",99.8
276,Germany,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",98.1588
276,Germany,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",91.138
276,Germany,2010,"Safely managed sanitation facilities, total of Proportion of population with access",96.5417
276,Germany,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.8
276,Germany,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",98.8463
276,Germany,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",91.7524
276,Germany,2017,"Safely managed sanitation facilities, total of Proportion of population with access",97.2332
288,Ghana,2005,"Safely managed drinking water sources, urban of Proportion of population with access",36.0293
288,Ghana,2005,"Safely managed drinking water sources, rural of Proportion of population with access",2.5742
288,Ghana,2005,"Safely managed drinking water sources, total of Proportion of population with access",18.4011
288,Ghana,2010,"Safely managed drinking water sources, urban of Proportion of population with access",44.2845
288,Ghana,2010,"Safely managed drinking water sources, rural of Proportion of population with access",5.9407
288,Ghana,2010,"Safely managed drinking water sources, total of Proportion of population with access",25.386
288,Ghana,2017,"Safely managed drinking water sources, urban of Proportion of population with access",56.5006
288,Ghana,2017,"Safely managed drinking water sources, rural of Proportion of population with access",11.451
288,Ghana,2017,"Safely managed drinking water sources, total of Proportion of population with access",36.4116
292,Gibraltar,2005,"Safely managed drinking water sources, urban of Proportion of population with access",100
292,Gibraltar,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
292,Gibraltar,2010,"Safely managed drinking water sources, urban of Proportion of population with access",100
292,Gibraltar,2010,"Safely managed drinking water sources, total of Proportion of population with access",100
292,Gibraltar,2017,"Safely managed drinking water sources, urban of Proportion of population with access",100
292,Gibraltar,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
300,Greece,2005,"Safely managed drinking water sources, total of Proportion of population with access",99.4041
300,Greece,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",86.7836
300,Greece,2005,"Safely managed sanitation facilities, total of Proportion of population with access",79.8943
300,Greece,2010,"Safely managed drinking water sources, total of Proportion of population with access",99.8153
300,Greece,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",90.8399
300,Greece,2010,"Safely managed sanitation facilities, total of Proportion of population with access",83.9658
300,Greece,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
300,Greece,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",96.6382
300,Greece,2017,"Safely managed sanitation facilities, total of Proportion of population with access",90.3912
304,Greenland,2005,"Safely managed drinking water sources, total of Proportion of population with access",94.4562
304,Greenland,2005,"Safely managed sanitation facilities, total of Proportion of population with access",92.1489
304,Greenland,2010,"Safely managed drinking water sources, total of Proportion of population with access",96.0131
304,Greenland,2010,"Safely managed sanitation facilities, total of Proportion of population with access",93.0398
304,Greenland,2017,"Safely managed drinking water sources, total of Proportion of population with access",96.7477
304,Greenland,2017,"Safely managed sanitation facilities, total of Proportion of population with access",94.8404
308,Grenada,2005,"Safely managed drinking water sources, total of Proportion of population with access",83.2098
308,Grenada,2010,"Safely managed drinking water sources, total of Proportion of population with access",87.1172
308,Grenada,2017,"Safely managed drinking water sources, total of Proportion of population with access",87.1153
312,Guadeloupe,2005,"Safely managed drinking water sources, total of Proportion of population with access",96.8705
312,Guadeloupe,2010,"Safely managed drinking water sources, total of Proportion of population with access",97.0902
312,Guadeloupe,2017,"Safely managed drinking water sources, total of Proportion of population with access",97.3978
316,Guam,2005,"Safely managed drinking water sources, total of Proportion of population with access",99.4005
316,Guam,2010,"Safely managed drinking water sources, total of Proportion of population with access",99.501
316,Guam,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.5412
320,Guatemala,2005,"Safely managed drinking water sources, urban of Proportion of population with access",58.4048
320,Guatemala,2005,"Safely managed drinking water sources, rural of Proportion of population with access",41.4267
320,Guatemala,2005,"Safely managed drinking water sources, total of Proportion of population with access",49.3916
320,Guatemala,2010,"Safely managed drinking water sources, urban of Proportion of population with access",61.5919
320,Guatemala,2010,"Safely managed drinking water sources, rural of Proportion of population with access",43.3764
320,Guatemala,2010,"Safely managed drinking water sources, total of Proportion of population with access",52.1932
320,Guatemala,2017,"Safely managed drinking water sources, urban of Proportion of population with access",65.6104
320,Guatemala,2017,"Safely managed drinking water sources, rural of Proportion of population with access",46.106
320,Guatemala,2017,"Safely managed drinking water sources, total of Proportion of population with access",55.9908
340,Honduras,2005,"Safely managed drinking water sources, rural of Proportion of population with access",16.5458
340,Honduras,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",33.5836
340,Honduras,2010,"Safely managed drinking water sources, rural of Proportion of population with access",17.3627
340,Honduras,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",34.0114
340,Honduras,2017,"Safely managed drinking water sources, rural of Proportion of population with access",18.5063
340,Honduras,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",34.5176
348,Hungary,2005,"Safely managed drinking water sources, total of Proportion of population with access",56.0837
348,Hungary,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",95.1966
348,Hungary,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",98.2494
348,Hungary,2005,"Safely managed sanitation facilities, total of Proportion of population with access",96.2234
348,Hungary,2010,"Safely managed drinking water sources, total of Proportion of population with access",70.0267
348,Hungary,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",94.9743
348,Hungary,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",98.2175
348,Hungary,2010,"Safely managed sanitation facilities, total of Proportion of population with access",95.9826
348,Hungary,2017,"Safely managed drinking water sources, total of Proportion of population with access",89.5728
348,Hungary,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",94.6631
348,Hungary,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",98.1728
348,Hungary,2017,"Safely managed sanitation facilities, total of Proportion of population with access",95.6788
352,Iceland,2005,"Safely managed drinking water sources, total of Proportion of population with access",92.6743
352,Iceland,2005,"Safely managed sanitation facilities, total of Proportion of population with access",55.0012
352,Iceland,2010,"Safely managed drinking water sources, total of Proportion of population with access",95.8089
352,Iceland,2010,"Safely managed sanitation facilities, total of Proportion of population with access",65.8657
352,Iceland,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
352,Iceland,2017,"Safely managed sanitation facilities, total of Proportion of population with access",81.7581
356,India,2005,"Safely managed drinking water sources, rural of Proportion of population with access",29.4656
356,India,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",11.414
356,India,2010,"Safely managed drinking water sources, rural of Proportion of population with access",40.0173
356,India,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",22.607
356,India,2017,"Safely managed drinking water sources, rural of Proportion of population with access",55.9961
356,India,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",39.0458
364,Iran of Islamic Republic of,2005,"Safely managed drinking water sources, urban of Proportion of population with access",95.3776
364,Iran of Islamic Republic of,2005,"Safely managed drinking water sources, rural of Proportion of population with access",83.2347
364,Iran of Islamic Republic of,2005,"Safely managed drinking water sources, total of Proportion of population with access",91.4382
364,Iran of Islamic Republic of,2010,"Safely managed drinking water sources, urban of Proportion of population with access",95.0948
364,Iran of Islamic Republic of,2010,"Safely managed drinking water sources, rural of Proportion of population with access",82.902
364,Iran of Islamic Republic of,2010,"Safely managed drinking water sources, total of Proportion of population with access",91.5133
364,Iran of Islamic Republic of,2017,"Safely managed drinking water sources, urban of Proportion of population with access",94.925
364,Iran of Islamic Republic of,2017,"Safely managed drinking water sources, rural of Proportion of population with access",82.7024
364,Iran of Islamic Republic of,2017,"Safely managed drinking water sources, total of Proportion of population with access",91.7953
368,Iraq,2005,"Safely managed drinking water sources, urban of Proportion of population with access",61.6141
368,Iraq,2005,"Safely managed drinking water sources, rural of Proportion of population with access",32.791
368,Iraq,2005,"Safely managed drinking water sources, total of Proportion of population with access",52.6115
368,Iraq,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",32.4682
368,Iraq,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",35.4377
368,Iraq,2005,"Safely managed sanitation facilities, total of Proportion of population with access",33.3957
368,Iraq,2010,"Safely managed drinking water sources, urban of Proportion of population with access",62.6358
368,Iraq,2010,"Safely managed drinking water sources, rural of Proportion of population with access",38.4864
368,Iraq,2010,"Safely managed drinking water sources, total of Proportion of population with access",55.1744
368,Iraq,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",35.0609
368,Iraq,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",39.2091
368,Iraq,2010,"Safely managed sanitation facilities, total of Proportion of population with access",36.3426
368,Iraq,2017,"Safely managed drinking water sources, urban of Proportion of population with access",64.0662
368,Iraq,2017,"Safely managed drinking water sources, rural of Proportion of population with access",46.4601
368,Iraq,2017,"Safely managed drinking water sources, total of Proportion of population with access",58.8333
368,Iraq,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",39.4124
368,Iraq,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",44.9819
368,Iraq,2017,"Safely managed sanitation facilities, total of Proportion of population with access",41.0678
372,Ireland,2005,"Safely managed drinking water sources, total of Proportion of population with access",94.4725
372,Ireland,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",59.5763
372,Ireland,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",65.7861
372,Ireland,2005,"Safely managed sanitation facilities, total of Proportion of population with access",62.0306
372,Ireland,2010,"Safely managed drinking water sources, total of Proportion of population with access",95.8928
372,Ireland,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",74.1682
372,Ireland,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",68.8255
372,Ireland,2010,"Safely managed sanitation facilities, total of Proportion of population with access",72.1135
372,Ireland,2017,"Safely managed drinking water sources, total of Proportion of population with access",97.3228
372,Ireland,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",88.4553
372,Ireland,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",72.1498
372,Ireland,2017,"Safely managed sanitation facilities, total of Proportion of population with access",82.4136
833,Isle of Man,2010,"Safely managed drinking water sources, total of Proportion of population with access",97.2076
833,Isle of Man,2017,"Safely managed drinking water sources, total of Proportion of population with access",97.2076
376,Israel,2005,"Safely managed drinking water sources, urban of Proportion of population with access",99.9117
376,Israel,2005,"Safely managed drinking water sources, rural of Proportion of population with access",99.9627
376,Israel,2005,"Safely managed drinking water sources, total of Proportion of population with access",99.916
376,Israel,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",83.7254
376,Israel,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",82.0183
376,Israel,2005,"Safely managed sanitation facilities, total of Proportion of population with access",83.5806
376,Israel,2010,"Safely managed drinking water sources, urban of Proportion of population with access",99.7573
376,Israel,2010,"Safely managed drinking water sources, rural of Proportion of population with access",99.7334
376,Israel,2010,"Safely managed drinking water sources, total of Proportion of population with access",99.7553
376,Israel,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",87.9355
376,Israel,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",86.0858
376,Israel,2010,"Safely managed sanitation facilities, total of Proportion of population with access",87.7843
376,Israel,2017,"Safely managed drinking water sources, urban of Proportion of population with access",99.397
376,Israel,2017,"Safely managed drinking water sources, rural of Proportion of population with access",99.1985
376,Israel,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.3818
376,Israel,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",93.8296
376,Israel,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",91.7802
376,Israel,2017,"Safely managed sanitation facilities, total of Proportion of population with access",93.6726
380,Italy,2005,"Safely managed drinking water sources, total of Proportion of population with access",89.1811
380,Italy,2010,"Safely managed drinking water sources, total of Proportion of population with access",91.8114
380,Italy,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",96.2288
380,Italy,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",96.0582
380,Italy,2010,"Safely managed sanitation facilities, total of Proportion of population with access",96.1748
380,Italy,2017,"Safely managed drinking water sources, total of Proportion of population with access",95.0396
380,Italy,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",96.259
380,Italy,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",96.0882
380,Italy,2017,"Safely managed sanitation facilities, total of Proportion of population with access",96.208
392,Japan,2005,"Safely managed drinking water sources, total of Proportion of population with access",97.91
392,Japan,2005,"Safely managed sanitation facilities, total of Proportion of population with access",98.2058
392,Japan,2010,"Safely managed drinking water sources, total of Proportion of population with access",98.1364
392,Japan,2010,"Safely managed sanitation facilities, total of Proportion of population with access",98.6509
392,Japan,2017,"Safely managed drinking water sources, total of Proportion of population with access",98.4537
392,Japan,2017,"Safely managed sanitation facilities, total of Proportion of population with access",98.7604
400,Jordan,2005,"Safely managed drinking water sources, total of Proportion of population with access",93.8261
400,Jordan,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",83.4045
400,Jordan,2005,"Safely managed sanitation facilities, total of Proportion of population with access",76.6308
400,Jordan,2010,"Safely managed drinking water sources, total of Proportion of population with access",93.893
400,Jordan,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",83.341
400,Jordan,2010,"Safely managed sanitation facilities, total of Proportion of population with access",79.0034
400,Jordan,2017,"Safely managed drinking water sources, total of Proportion of population with access",93.8183
400,Jordan,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",83.2019
400,Jordan,2017,"Safely managed sanitation facilities, total of Proportion of population with access",80.5549
398,Kazakhstan,2005,"Safely managed drinking water sources, total of Proportion of population with access",65.4694
398,Kazakhstan,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",92.3981
398,Kazakhstan,2010,"Safely managed drinking water sources, total of Proportion of population with access",75.4465
398,Kazakhstan,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",91.6369
398,Kazakhstan,2017,"Safely managed drinking water sources, total of Proportion of population with access",89.5123
398,Kazakhstan,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",90.5287
404,Kenya,2005,"Safely managed drinking water sources, urban of Proportion of population with access",60.2713
404,Kenya,2010,"Safely managed drinking water sources, urban of Proportion of population with access",55.947
404,Kenya,2017,"Safely managed drinking water sources, urban of Proportion of population with access",50.0095
414,Kuwait,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
414,Kuwait,2005,"Safely managed sanitation facilities, total of Proportion of population with access",100
414,Kuwait,2010,"Safely managed drinking water sources, total of Proportion of population with access",100
414,Kuwait,2010,"Safely managed sanitation facilities, total of Proportion of population with access",100
414,Kuwait,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
414,Kuwait,2017,"Safely managed sanitation facilities, total of Proportion of population with access",100
417,Kyrgyzstan,2005,"Safely managed drinking water sources, urban of Proportion of population with access",82.0659
417,Kyrgyzstan,2005,"Safely managed drinking water sources, rural of Proportion of population with access",30.4712
417,Kyrgyzstan,2005,"Safely managed drinking water sources, total of Proportion of population with access",48.679
417,Kyrgyzstan,2010,"Safely managed drinking water sources, urban of Proportion of population with access",87.5281
417,Kyrgyzstan,2010,"Safely managed drinking water sources, rural of Proportion of population with access",40.6849
417,Kyrgyzstan,2010,"Safely managed drinking water sources, total of Proportion of population with access",57.2233
417,Kyrgyzstan,2017,"Safely managed drinking water sources, urban of Proportion of population with access",93.5085
417,Kyrgyzstan,2017,"Safely managed drinking water sources, rural of Proportion of population with access",53.9169
417,Kyrgyzstan,2017,"Safely managed drinking water sources, total of Proportion of population with access",68.2233
418,Lao People's Dem. Rep.,2005,"Safely managed drinking water sources, urban of Proportion of population with access",22.8736
418,Lao People's Dem. Rep.,2005,"Safely managed drinking water sources, rural of Proportion of population with access",7.028
418,Lao People's Dem. Rep.,2005,"Safely managed drinking water sources, total of Proportion of population with access",11.3358
418,Lao People's Dem. Rep.,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",50.6582
418,Lao People's Dem. Rep.,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",27.5253
418,Lao People's Dem. Rep.,2005,"Safely managed sanitation facilities, total of Proportion of population with access",33.8142
418,Lao People's Dem. Rep.,2010,"Safely managed drinking water sources, urban of Proportion of population with access",24.2818
418,Lao People's Dem. Rep.,2010,"Safely managed drinking water sources, rural of Proportion of population with access",8.5812
418,Lao People's Dem. Rep.,2010,"Safely managed drinking water sources, total of Proportion of population with access",13.3014
418,Lao People's Dem. Rep.,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",55.4841
418,Lao People's Dem. Rep.,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",39.461
418,Lao People's Dem. Rep.,2010,"Safely managed sanitation facilities, total of Proportion of population with access",44.2782
418,Lao People's Dem. Rep.,2017,"Safely managed drinking water sources, urban of Proportion of population with access",26.2532
418,Lao People's Dem. Rep.,2017,"Safely managed drinking water sources, rural of Proportion of population with access",10.7557
418,Lao People's Dem. Rep.,2017,"Safely managed drinking water sources, total of Proportion of population with access",16.0819
418,Lao People's Dem. Rep.,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",62.3933
418,Lao People's Dem. Rep.,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",55.7811
418,Lao People's Dem. Rep.,2017,"Safely managed sanitation facilities, total of Proportion of population with access",58.0536
428,Latvia,2005,"Safely managed drinking water sources, total of Proportion of population with access",92.9563
428,Latvia,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",85.6131
428,Latvia,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",66.89
428,Latvia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",79.6217
428,Latvia,2010,"Safely managed drinking water sources, total of Proportion of population with access",93.7628
428,Latvia,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",86.9058
428,Latvia,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",70.9073
428,Latvia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",81.7608
428,Latvia,2017,"Safely managed drinking water sources, total of Proportion of population with access",95.1909
428,Latvia,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",90.1904
428,Latvia,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",76.5125
428,Latvia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",85.8238
422,Lebanon,2005,"Safely managed drinking water sources, total of Proportion of population with access",45.1668
422,Lebanon,2005,"Safely managed sanitation facilities, total of Proportion of population with access",18.062
422,Lebanon,2010,"Safely managed drinking water sources, total of Proportion of population with access",46.3454
422,Lebanon,2010,"Safely managed sanitation facilities, total of Proportion of population with access",19.605
422,Lebanon,2017,"Safely managed drinking water sources, total of Proportion of population with access",47.7
422,Lebanon,2017,"Safely managed sanitation facilities, total of Proportion of population with access",21.7621
434,Libya,2005,"Safely managed sanitation facilities, total of Proportion of population with access",28.3092
434,Libya,2010,"Safely managed sanitation facilities, total of Proportion of population with access",27.3172
434,Libya,2017,"Safely managed sanitation facilities, total of Proportion of population with access",26.1115
438,Liechtenstein,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
438,Liechtenstein,2005,"Safely managed sanitation facilities, total of Proportion of population with access",99.65
438,Liechtenstein,2010,"Safely managed drinking water sources, total of Proportion of population with access",100
438,Liechtenstein,2010,"Safely managed sanitation facilities, total of Proportion of population with access",99.65
438,Liechtenstein,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
438,Liechtenstein,2017,"Safely managed sanitation facilities, total of Proportion of population with access",99.65
440,Lithuania,2005,"Safely managed drinking water sources, total of Proportion of population with access",73.0994
440,Lithuania,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",92.2819
440,Lithuania,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",70.5167
440,Lithuania,2005,"Safely managed sanitation facilities, total of Proportion of population with access",85.0199
440,Lithuania,2010,"Safely managed drinking water sources, total of Proportion of population with access",81.9458
440,Lithuania,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",93.4658
440,Lithuania,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",75.8044
440,Lithuania,2010,"Safely managed sanitation facilities, total of Proportion of population with access",87.5946
440,Lithuania,2017,"Safely managed drinking water sources, total of Proportion of population with access",92.0429
440,Lithuania,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",95.1571
440,Lithuania,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",83.3157
440,Lithuania,2017,"Safely managed sanitation facilities, total of Proportion of population with access",91.3106
442,Luxembourg,2005,"Safely managed drinking water sources, urban of Proportion of population with access",100
442,Luxembourg,2005,"Safely managed drinking water sources, rural of Proportion of population with access",100
442,Luxembourg,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
442,Luxembourg,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",92.2045
442,Luxembourg,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",84.8132
442,Luxembourg,2005,"Safely managed sanitation facilities, total of Proportion of population with access",91.2139
442,Luxembourg,2010,"Safely managed drinking water sources, urban of Proportion of population with access",100
442,Luxembourg,2010,"Safely managed drinking water sources, rural of Proportion of population with access",100
442,Luxembourg,2010,"Safely managed drinking water sources, total of Proportion of population with access",100
442,Luxembourg,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",93.3535
442,Luxembourg,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",85.7907
442,Luxembourg,2010,"Safely managed sanitation facilities, total of Proportion of population with access",92.4874
442,Luxembourg,2017,"Safely managed drinking water sources, urban of Proportion of population with access",100
442,Luxembourg,2017,"Safely managed drinking water sources, rural of Proportion of population with access",97.031
442,Luxembourg,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.7247
442,Luxembourg,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",97.39
442,Luxembourg,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",89.2665
442,Luxembourg,2017,"Safely managed sanitation facilities, total of Proportion of population with access",96.6367
458,Malaysia,2005,"Safely managed drinking water sources, total of Proportion of population with access",93.1569
458,Malaysia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",78.7732
458,Malaysia,2010,"Safely managed drinking water sources, total of Proportion of population with access",93.251
458,Malaysia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",81.5166
458,Malaysia,2017,"Safely managed drinking water sources, total of Proportion of population with access",93.3293
458,Malaysia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",88.6339
466,Mali,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",7.6646
466,Mali,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",11.7454
